login_id,user_id,mouse_velocity_px_sec,avg_keystroke_delay,session_entropy,tab_switch_count
30a900ad-939b-462d-a645-f129629c2ae3,user_001,4542,0.005,0.1,1
ce777f00-ecf2-4e76-8519-7ff4006ed6e3,user_001,353,0.2217,0.72,1
f0b5156b-b82c-4074-afd5-dea589d7fd6c,user_001,478,0.2025,0.63,8
3270e4fa-abae-4f43-bcae-8081bdf070aa,user_001,283,0.1745,0.69,4
f2e9702d-11e9-4daa-ae69-81a35d3d9e56,user_001,256,0.1683,0.77,1
9f871ce7-5487-4d4f-abb7-a385aa0b7b14,user_001,282,0.2714,0.82,7
1fe771d6-d917-4793-a9d3-c2e6505cc686,user_001,351,0.1559,0.82,5
81d2c7de-4ce1-4b90-a669-7833b841d0a0,user_001,345,0.2322,0.84,7
5380b904-688c-4015-aab9-7e494f2d4796,user_001,238,0.1846,0.84,7
8dedf9fb-4bb0-4f20-b27c-40266703b636,user_001,300,0.1649,0.64,9
aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,user_001,364,0.165,0.93,7
bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,user_001,167,0.1929,0.9,6
91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,user_001,370,0.1769,0.85,6
d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,user_001,96,0.1192,0.92,6
35ce8841-4973-4d6c-8dca-bfb7001a9a8b,user_001,423,0.2329,0.81,1
9b4e2c24-9479-41e6-8927-7d9b6e0d2648,user_001,363,0.2294,0.8,10
7118e364-7709-4749-927e-ecfaa79ac9aa,user_001,457,0.1668,0.6,4
82dc4c8e-36b5-429a-acf5-e81e71316269,user_001,380,0.1959,0.68,5
f5b78cc7-e6b3-4944-8b32-3e357922bac2,user_002,301,0.1235,0.64,6
a8aa7158-2b70-4525-bc67-f831cbc84759,user_002,385,0.2789,0.87,8
a9f25336-83f4-49a9-88a6-39d015b52908,user_002,387,0.0609,0.71,4
17e8392a-55ce-45db-9e87-e04ca2086977,user_002,4999,0.005,0.1,8
0640be0f-25b8-4d4b-b2fa-2de8ce7ae7f6,user_002,142,0.1568,0.74,2
79a28903-fbe3-4b24-beae-00320bd4a990,user_002,289,0.1985,0.91,7
12a4def0-c4bb-47a9-9988-68dd9c7c7377,user_002,322,0.0126,0.88,1
a1384ddc-e2d9-4e5d-aa18-ce4c74962764,user_002,396,0.1574,0.76,4
b24445a7-b7e5-4481-b1c6-81ec935f2b0a,user_002,468,0.1862,0.81,5
3e75c3b4-664f-4663-be8f-8095624c69b6,user_002,148,0.1808,0.7,9
016b6287-b008-45cc-a7f3-6ae925c73c44,user_002,168,0.1902,0.66,2
c521bf2d-dc45-4539-803f-3538e4855aa1,user_002,407,0.1883,0.77,8
6cd66193-c746-4f59-9b49-4e15e2add909,user_002,388,0.1408,0.89,9
f53d4330-cdda-44ba-ad06-e8cf3805f907,user_002,472,0.1776,0.73,8
0cdb1ca4-76ec-4dd6-8498-e113b227462c,user_002,240,0.1484,0.89,7
